SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
GSFC,18-DEC-2019,69.0,69.9,68.35,68.7,155959,1471,68.75
GSKCONS,18-DEC-2019,8375.2,8384.4,8151.4,8254.15,65834,10963,8374.8
GSPL,18-DEC-2019,217.6,218.2,216.2,217.35,138337,3885,216.7
GSS,18-DEC-2019,31.7,32.9,29.0,31.85,23889,438,32.0
GTL,18-DEC-2019,1.5,1.55,1.45,1.5,139683,89,1.5
GTLINFRA,18-DEC-2019,0.4,0.45,0.4,0.4,15833697,1146,0.45
GTNIND,18-DEC-2019,6.05,6.5,6.05,6.45,1764,18,6.65
GTNTEX,18-DEC-2019,5.5,5.5,5.5,5.5,14,1,5.5
GTPL,18-DEC-2019,66.15,67.45,65.0,66.0,9205,215,66.3
GUFICBIO,18-DEC-2019,63.0,63.45,61.1,61.55,21043,547,62.65
GUJALKALI,18-DEC-2019,395.9,399.85,393.8,396.9,13461,980,395.05
GUJAPOLLO,18-DEC-2019,121.7,125.8,119.0,120.45,1643,160,121.9
GUJGASLTD,18-DEC-2019,229.2,230.75,227.05,229.7,274893,5706,228.9
GULFOILLUB,18-DEC-2019,820.05,831.8,815.05,830.05,4014,291,822.0
GULFPETRO,18-DEC-2019,37.0,37.9,36.05,36.95,22334,312,37.7
GULPOLY,18-DEC-2019,36.6,38.25,36.6,37.55,4473,168,36.9
GVKPIL,18-DEC-2019,4.4,4.4,4.1,4.15,1342674,974,4.4
HAL,18-DEC-2019,745.0,750.0,740.0,741.8,7224,970,748.0
HARITASEAT,18-DEC-2019,440.0,444.8,436.4,439.8,809,75,445.75
HARRMALAYA,18-DEC-2019,60.5,60.5,57.7,58.1,63343,1432,60.5
HATHWAY,18-DEC-2019,19.7,19.8,19.5,19.55,92257,444,19.65
HATSUN,18-DEC-2019,576.0,576.0,566.65,567.7,2907,202,573.75
HAVELLS,18-DEC-2019,644.8,655.0,636.05,652.05,1325539,26912,642.4
HAVISHA,18-DEC-2019,0.55,0.6,0.55,0.55,5002,3,0.6
HBLPOWER,18-DEC-2019,15.8,15.95,15.5,15.6,153353,1162,15.8
HCC,18-DEC-2019,11.5,11.7,11.05,11.25,2757326,4961,11.4
HCG,18-DEC-2019,101.75,101.75,95.2,99.65,46493,618,100.75
HCL-INSYS,18-DEC-2019,7.65,7.8,7.45,7.45,639749,932,7.65
HCLTECH,18-DEC-2019,560.0,566.95,559.0,564.7,4618387,71520,557.75
HDFC,18-DEC-2019,2427.0,2459.3,2415.8,2445.15,5100244,199057,2430.1
HDFCAMC,18-DEC-2019,3164.9,3164.9,3125.5,3145.6,437950,38989,3153.3
HDFCBANK,18-DEC-2019,1283.0,1299.0,1273.65,1292.35,8723586,201690,1271.1
