SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTALTRADES,PREVCLOSE
BIOCON,29-NOV-2018,598.0,610.55,590.65,602.4,2575141,51208,597.7
BIOFILCHEM,29-NOV-2018,7.25,7.25,6.65,6.8,2235,18,6.95
BIRLACABLE,29-NOV-2018,223.45,223.45,214.05,217.45,89670,1927,219.7
BIRLACORPN,29-NOV-2018,627.15,645.0,623.2,625.75,24007,1287,630.25
BIRLAMONEY,29-NOV-2018,44.85,44.85,43.1,44.0,27250,308,43.75
BKMINDST,29-NOV-2018,7.45,7.95,7.45,7.45,20649,43,7.8
BLBLIMITED,29-NOV-2018,5.5,5.5,5.05,5.45,45757,95,5.25
BLISSGVS,29-NOV-2018,161.6,162.25,155.0,155.7,354967,2455,160.95
BLKASHYAP,29-NOV-2018,22.4,22.4,21.55,21.85,125339,607,21.75
BLS,29-NOV-2018,123.3,123.85,117.0,120.1,73305,1417,123.5
BLUEBLENDS,29-NOV-2018,3.9,3.95,3.7,3.95,11598,44,3.8
BLUEDART,29-NOV-2018,3100.0,3200.0,3071.05,3165.2,6677,1474,3058.45
BLUESTARCO,29-NOV-2018,646.05,664.0,642.65,656.95,53064,3743,643.7
BODALCHEM,29-NOV-2018,110.5,112.8,110.5,112.1,69755,1149,110.45
BOHRA,29-NOV-2018,29.0,29.5,29.0,29.5,28000,9,28.2
BOMDYEING,29-NOV-2018,105.15,105.6,100.5,101.6,826176,7012,104.95
BOROSIL,29-NOV-2018,237.0,238.0,230.75,234.15,32059,1033,235.95
BOSCHLTD,29-NOV-2018,18749.0,18999.0,18687.2,18782.7,62651,16425,18687.2
BPCL,29-NOV-2018,327.35,332.0,325.2,328.5,8891722,90063,320.15
BPL,29-NOV-2018,39.9,39.9,38.7,39.0,50934,513,39.55
BRFL,29-NOV-2018,11.0,11.0,10.45,10.55,307202,743,11.0
BRIGADE,29-NOV-2018,194.0,195.0,190.15,192.8,12870,439,193.0
BRITANNIA,29-NOV-2018,3016.0,3045.0,2985.0,3032.35,414182,25800,5961.75
BRNL,29-NOV-2018,89.65,94.95,89.0,94.15,8691,184,90.5
BROOKS,29-NOV-2018,58.05,58.6,56.65,56.75,13859,325,58.05
BSE,29-NOV-2018,602.4,605.95,597.5,599.85,49081,4421,599.35
BSELINFRA,29-NOV-2018,2.35,2.5,2.3,2.45,121095,118,2.35
BSHSL,29-NOV-2018,130.0,135.0,130.0,135.0,2000,2,127.0
BSL,29-NOV-2018,46.25,47.4,46.1,46.1,4626,90,46.1
BSLGOLDETF,29-NOV-2018,2934.0,2934.0,2825.05,2838.1,21,14,2864.8
BSLNIFTY,29-NOV-2018,114.0,117.99,110.8,110.8,25,6,114.99
BURNPUR,29-NOV-2018,4.0,4.05,3.9,4.05,26620,62,3.95
BUTTERFLY,29-NOV-2018,222.5,229.9,222.5,223.6,4237,330,223.85
BVCL,29-NOV-2018,16.2,17.45,16.2,17.15,968,14,16.9
BYKE,29-NOV-2018,77.7,77.9,73.05,74.0,28700,637,74.7
CADILAHC,29-NOV-2018,345.0,360.3,341.65,356.9,2821212,43411,343.8
CALSOFT,29-NOV-2018,33.8,33.8,31.45,31.45,10311,95,33.1
CAMLINFINE,29-NOV-2018,56.7,57.8,55.7,56.15,155235,1396,56.7
CANBK,29-NOV-2018,264.8,267.25,260.2,261.05,5327399,34840,262.05
CANDC,29-NOV-2018,29.75,31.15,28.4,31.15,275812,794,28.35
CANFINHOME,29-NOV-2018,259.35,269.8,255.3,267.45,927302,11051,257.75
CANTABIL,29-NOV-2018,129.05,132.75,128.25,131.35,23062,261,130.2
CAPACITE,29-NOV-2018,235.8,240.9,234.0,239.2,56578,2372,233.75
CAPF,29-NOV-2018,532.5,534.0,518.5,523.9,611971,9080,529.15
CAPLIPOINT,29-NOV-2018,408.6,408.65,399.0,403.45,17441,768,405.4
CAPTRUST,29-NOV-2018,177.75,182.0,168.0,169.3,3826,154,177.75
CARBORUNIV,29-NOV-2018,356.5,365.0,354.0,359.4,14327,723,356.5
CAREERP,29-NOV-2018,73.35,74.9,71.95,74.3,17916,377,72.55
CARERATING,29-NOV-2018,979.0,979.0,951.0,961.05,151253,8478,957.3
CASTEXTECH,29-NOV-2018,1.3,1.35,1.25,1.3,181189,142,1.3
CASTROLIND,29-NOV-2018,156.35,160.0,155.25,156.25,7085532,19786,156.1
CCCL,29-NOV-2018,2.2,2.2,2.2,2.2,11604,26,2.3
CCHHL,29-NOV-2018,7.6,7.8,7.4,7.7,38682,108,7.65
CCL,29-NOV-2018,267.0,270.0,267.0,268.45,25505,722,268.25
CDSL,29-NOV-2018,232.45,239.5,231.15,237.25,651751,6060,231.5
CEATLTD,29-NOV-2018,1225.0,1267.85,1216.15,1253.9,771963,21040,1209.0
CEBBCO,29-NOV-2018,16.35,16.35,15.5,16.35,249922,564,13.65
CELEBRITY,29-NOV-2018,9.7,9.7,9.1,9.25,10191,96,9.5
CELESTIAL,29-NOV-2018,8.5,8.5,7.85,8.05,20303,97,8.15
CENTENKA,29-NOV-2018,270.8,273.8,265.3,267.1,19567,641,272.25
CENTEXT,29-NOV-2018,6.85,6.95,6.35,6.65,259409,436,6.85
CENTRALBK,29-NOV-2018,30.2,30.4,28.75,29.0,453037,2029,30.0
CENTRUM,29-NOV-2018,38.5,38.5,37.9,38.05,124804,338,38.85
