SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
GS,828GS2032,GOI LOAN 8.28%2032,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
GS,795GS2032,GOI LOAN 7.95% 2032,28/02/2020, , ,27/02/2020, , ,INTEREST PAYMENT         
GS,587GS2022,GOI 5.87% 2022,28/02/2020, , ,27/02/2020, , ,INTEREST PAYMENT         
GS,75GS2034,GOI LOAN 7.50% 2034,07/02/2020, , ,06/02/2020, , ,INTEREST PAYMENT         
GS,82GS2022,GOI LOAN 8.20%2022,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
IV,IRBINVIT,IRB InvIT Fund,13/02/2020, , ,12/02/2020, , ,DISTRIBUTION             
M2,L&TFINANCE,L,10/02/2020, , ,03/02/2020,03/02/2020,07/02/2020,INTEREST PAYMENT         
M3,L&TFINANCE,L,10/02/2020, , ,03/02/2020,03/02/2020,07/02/2020,INTEREST PAYMENT         
M5,SREINFRA,Sec Red NCD 8.88% Sr. III,11/02/2020, , ,04/02/2020,04/02/2020,10/02/2020,INT PAYMENT/REDEMPTION   
M6,L&TFINANCE,L,10/02/2020, , ,03/02/2020,03/02/2020,07/02/2020,INTEREST PAYMENT         
M6,SREINFRA,Sec Red NCD 9.25% Sr. IV,12/02/2020, , ,05/02/2020,05/02/2020,11/02/2020,INT PAYMENT/REDEMPTION   
M7,L&TFINANCE,L,10/02/2020, , ,03/02/2020,03/02/2020,07/02/2020,INTEREST PAYMENT         
M7,SREINFRA,Sec Red NCD Sr. V,12/02/2020, , ,05/02/2020,05/02/2020,11/02/2020,REDEMPTION               
MB,SRTRANSFIN,BOND 9.71% PA SRN S-V,14/02/2020, , ,13/02/2020, , ,INTEREST PAYMENT         
MF,UFIMIPRRII,UTI-FIIF - MIP - II - RDR,05/02/2020, , , , , ,DIV/STP                  
MF,UFIMIPRPII,UTI-FIIF - MIP - II - RDP,05/02/2020, , , , , ,DIV/STP                  
