MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,NPBET,TATAAML - NPBET,       172.66,       172.08,       172.08,       165.74,       167.12,                    94376.72,558,11,       190.00,       126.00,NIFTY PRIVATE BANK INDEX
N,EQ,PSUBNKBEES,NIPP IN ETF PSU BANK BEES,        26.30,        26.00,        26.33,        25.00,        25.25,                  1247797.60,48490,272,       410.00,        25.00,NIFTY PSU BANK INDEX
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,      1781.85,      1782.00,      1801.95,      1782.00,      1800.30,                   761401.75,423,71,      1828.10,      1375.55,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY ETF,      1233.00,      1230.00,      1230.00,      1206.00,      1206.71,                   123926.40,102,27,      1406.00,      1068.71,NIFTY 50
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       100.50,       102.00,       115.00,        98.50,        99.00,                   766178.01,7732,107,       115.00,        89.00,NIFTY 200 QUALITY 30 INDEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       181.01,       187.98,       188.00,       187.98,       188.00,                     1503.88,8,3,       222.27,       161.00,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,      3659.85,      3663.50,      3712.00,      3663.50,      3703.00,                 12460256.15,3369,762,      3898.30,      2815.30,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       123.86,       124.50,       124.59,       120.80,       121.89,                 30724582.97,249473,2072,       138.55,       107.80,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       312.39,       310.00,       313.53,       301.30,       302.39,                390629394.17,1283112,1718,       373.20,       260.00,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       291.88,       295.00,       298.45,       282.25,       285.96,                 18503200.39,63540,358,       328.10,       240.90,NIFTY NEXT 50
N,EQ,SHARIABEES,NIPP IND ETF SHARIAH BEES,       260.74,       260.00,       260.00,       257.27,       258.81,                     5188.93,20,10,       277.00,       232.00,SHARIAH INDEX
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,       293.99,       299.40,       299.98,       290.50,       299.91,                    33725.88,113,24,       335.00,       255.20,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,      1279.37,      1294.10,      1382.90,      1233.00,      1269.22,                   326906.25,257,115,      1406.00,      1107.20,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       432.85,       434.01,       437.00,       425.70,       431.18,                   504365.50,1176,118,       456.00,       340.00,SENSEX
