MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,CCL,CCL PRODUCTS (I) LTD,       225.85,       221.20,       225.90,       214.00,       217.20,                134591139.55,612151,N, ,8273,       306.90,       180.00
N,EQ,CDSL,CENTRAL DEPO SER (I) LTD,       265.35,       264.00,       272.90,       253.90,       256.30,                191673172.90,723603,N, ,21927,       285.50,       180.80
N,EQ,CEATLTD,CEAT LIMITED,      1004.15,       999.95,      1018.20,       944.90,       957.35,                 71085674.95,72534,N, ,4651,      1188.80,       776.20
N,EQ,CEBBCO,COMMERCIAL ENG & CO. LTD,        14.85,        14.95,        15.25,        14.45,        14.55,                   595958.10,40347,N, ,169,        23.90,        12.00
N,EQ,CELEBRITY,CELEBRITY FASHIONS LTD,         6.05,         5.90,         6.20,         5.75,         5.80,                    32824.60,5540,N, ,140,         9.95,         4.20
N,EQ,CENTENKA,CENTURY ENKA LTD,       193.10,       192.40,       196.60,       186.20,       188.25,                  8801936.55,45746,N, ,916,       268.90,       154.00
N,EQ,CENTEXT,CENTURY EXTRUSIONS LTD,         2.95,         3.05,         3.05,         2.75,         2.80,                   151076.55,52762,N, ,102,         7.20,         2.00
N,EQ,CENTRALBK,CENTRAL BANK OF INDIA,        18.00,        18.35,        18.60,        17.80,        17.90,                 10104352.25,557425,N, ,2059,        36.90,        15.70
N,EQ,CENTRUM,CENTRUM CAPITAL LIMITED,        23.85,        23.25,        24.30,        22.70,        22.90,                  5385164.50,229647,N, ,347,        37.00,        17.75
N,EQ,CENTUM,CENTUM ELECTRONICS LTD,       398.90,       395.00,       407.85,       385.80,       391.85,                   566740.35,1429,N, ,264,       576.25,       338.60
N,EQ,CENTURYPLY,CENTURY PLYBOARDS (I) LTD,       170.70,       171.30,       171.30,       165.00,       168.40,                102129357.70,601934,N, ,3562,       222.40,       112.00
N,EQ,CENTURYTEX,CENTURY TEXTILES LTD,       644.20,       636.50,       639.90,       584.75,       593.00,                877104488.75,1420409,N, ,29303,      1063.00,       352.10
N,EQ,CERA,CERA SANITARYWARE LTD,      2709.25,      2724.00,      2724.00,      2619.00,      2641.20,                  6551368.50,2442,N, ,511,      3195.00,      2144.05
N,EQ,CESC,CESC LTD,       710.25,       706.50,       722.30,       685.00,       695.85,                151825661.10,213680,N, ,6065,       851.70,       642.60
N,EQ,CESCVENT,CESC VENTURES LIMITED,       341.10,       348.00,       348.00,       312.50,       320.45,                  4719631.80,14546,N, ,469,       659.00,       273.10
N,EQ,CGCL,CAPRI GLOBAL CAPITAL LTD,       193.90,       195.90,       202.00,       189.55,       199.45,                 46930305.80,239555,N, ,6917,       228.95,       113.70
N,EQ,CHALET,CHALET HOTELS LIMITED,       329.90,       321.25,       335.95,       316.40,       320.20,                167020463.40,509239,N, ,693,       402.00,       250.00
N,EQ,CHAMBLFERT,CHAMBAL FERTILIZERS LTD,       180.95,       182.60,       184.80,       163.45,       172.00,                334061319.75,1907130,N, ,23377,       195.00,       133.80
N,EQ,CHEMBOND,CHEMBOND CHEMICALS LTD,       225.55,       231.95,       238.50,       226.00,       229.10,                   353294.60,1540,N, ,116,       249.90,       196.00
N,EQ,CHEMFAB,CHEMFAB ALKALIS LIMITED,       179.90,       180.70,       183.00,       173.25,       179.30,                   334592.75,1883,N, ,436,       221.75,       129.00
N,EQ,CHENNPETRO,CHENNAI PETROLEUM CORP LT,       124.70,       124.80,       129.30,       122.15,       125.60,                 20576122.90,162518,N, ,3379,       278.30,       107.60
N,EQ,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,       327.55,       325.00,       328.90,       315.00,       318.55,                452744953.25,1412660,N, ,16464,      1555.00,       226.50
N,EQ,CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,       547.05,       535.05,       549.00,       520.00,       545.95,                 11392924.75,21113,N, ,1100,       569.85,       415.15
G,EQ,CHROMATIC,CHROMATIC INDIA LTD,          .50,          .50,          .50,          .50,          .50,                     1560.00,3120,N, ,4,         1.15,          .35
N,EQ,CIGNITITEC,CIGNITI TECHNOLOGIES LTD,       270.65,       277.00,       277.00,       255.00,       261.80,                  6087380.45,23062,N, ,650,       399.85,       240.00
N,EQ,CIMMCO,CIMMCO LIMITED,        21.70,        22.90,        22.90,        20.15,        20.80,                  1319164.25,61301,N, ,718,        40.65,        15.10
N,EQ,CINELINE,CINELINE INDIA LIMITED,        37.55,        35.70,        38.00,        35.70,        36.30,                   557890.40,15252,N, ,146,        51.50,        25.30
N,EQ,CINEVISTA,CINEVISTA LIMITED,         7.25,         7.00,         7.50,         7.00,         7.15,                    58563.15,8155,N, ,63,        16.15,         4.60
N,EQ,CKFSL,COX & KINGS FIN SERV LTD,          .40,          .40,          .40,          .35,          .35,                    80298.00,205224,N, ,74,        37.85,          .35
N,EQ,CLEDUCATE,CL EDUCATE LIMITED,        72.10,        75.70,        75.70,        72.80,        73.35,                   249108.40,3349,N, ,108,       135.00,        67.50
N,EQ,CLNINDIA,CLARIANT CHEMICALS (INDIA,       403.00,       403.00,       406.95,       395.00,       401.90,                 11449451.65,28445,N, ,1115,       423.50,       264.00
N,EQ,CMICABLES,CMI LIMITED,        45.80,        45.00,        46.50,        44.00,        44.30,                   682864.65,15263,N, ,549,       162.00,        43.00
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,         7.35,         7.70,         7.70,         7.70,         7.70,                    46200.00,6000,N, ,2,        10.50,         2.45
