MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N8,L&TFINANCE,SE RE NCD 9.1% SR.I OP II,      1075.23,      1075.00,      1075.00,      1075.00,      1075.00,                    43000.00,40, ,1,      1200.00,       952.40
N,N8,SREIBNPNCD,10.25% SRNCD SR VIII,      1068.00,      1074.99,      1075.00,      1069.00,      1069.00,                   238806.77,223, ,16,      1100.00,       728.00
N,N8,TATACAPHSG,SEC RED NCD 8.10% SR.IV,      1004.74,      1002.00,      1004.00,      1002.00,      1004.00,                    50194.00,50, ,3,      1006.00,      1000.00
N,N9,IDFCFIRSTB,BOND 9% 2021 TR-1 SR-I,      4980.00,      4955.00,      4980.00,      4955.00,      4960.00,                    49620.00,10, ,4,      5799.00,      4380.20
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1160.01,      1209.90,      1209.90,      1161.00,      1203.99,                    35983.85,30, ,4,      1339.99,      1066.00
N,N9,NHAI,TAX FREE7.35% SR.IIA,      1170.00,      1176.00,      1176.00,      1176.00,      1176.00,                    58800.00,50, ,1,      1390.00,      1070.11
N,NA,DHFL,SEC RED NCD 9.25% SR. 5B,       245.00,       277.00,       277.00,       276.00,       276.50,                      553.00,2, ,2,       992.00,       152.01
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1199.57,      1199.75,      1199.90,      1198.50,      1198.72,                   689379.00,575, ,5,      1220.00,      1070.10
N,NB,IBUCCREDIT,SERENCD8.84%SRVICIII&IV,       830.00,       848.60,       848.60,       820.00,       831.76,                   181725.00,217, ,6,       990.00,       600.00
N,NB,TCFSL,SERENCD8.80%SRICIII&IV,      1038.34,      1036.02,      1037.00,      1036.02,      1037.00,                   124430.20,120, ,5,      1095.00,       953.00
N,NC,IDFCFIRSTB,BOND 0% 2022 TR-2 SR-II,      9325.00,      9330.01,      9335.00,      9325.00,      9335.00,                   242556.64,26, ,8,      9360.00,      7301.00
N,NC,IRFC,BOND 8.63% PA TF TII-SIIA,      1266.00,      1280.00,      1280.00,      1280.00,      1280.00,                   640000.00,500, ,2,      1495.00,      1196.00
N,ND,IDFCFIRSTB,BOND 8.43% 2022 TR-3 SR-I,      5199.95,      5200.01,      5200.01,      5200.01,      5200.01,                    10400.02,2, ,1,      5499.90,      4200.00
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1232.00,      1220.00,      1220.00,      1220.00,      1220.00,                    12200.00,10, ,2,      1270.60,      1131.00
N,ND,TCFSL,SERENCD8.90%SRIICIII&IV,      1046.50,      1045.50,      1045.50,      1043.55,      1043.81,                   114819.75,110, ,3,      1104.00,       951.40
N,NE,ECLFINANCE,SEC RED NCD SR. I,      1072.08,       976.00,      1038.60,       970.00,      1035.00,                   555480.60,568, ,11,      1129.00,       851.05
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1315.00,      1328.99,      1328.99,      1315.00,      1315.00,                   242473.74,184, ,5,      1499.00,      1255.60
N,NE,IIFLFIN,SEC RED NCD SR. II,      1061.63,      1109.75,      1109.75,      1109.75,      1109.75,                     2219.50,2, ,1,      1109.75,       801.20
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1324.90,      1326.00,      1326.00,      1325.00,      1325.00,                     2651.00,2, ,2,      1360.00,      1190.60
N,NE,NHAI,TAX FREE 7.69% SR. IIB,      1169.89,      1168.50,      1168.50,      1164.70,      1165.60,                  1605027.00,1377, ,8,      1249.90,      1111.00
N,NF,ECLFINANCE,SEC RED NCD 9.45% SR. II,       964.34,       934.00,       946.89,       934.00,       934.02,                   324420.00,345, ,11,      1050.00,       720.00
N,NF,IIFLFIN,SEC RED NCD 9.75% SR. III,       992.80,       993.05,       994.00,       990.00,       991.55,                  1854207.25,1869, ,15,      1011.10,       800.00
N,NF,TCFSL,UNSERENCD9.1%SRIIICIII&IV,      1066.15,      1069.00,      1069.00,      1068.00,      1068.28,                    37390.00,35, ,3,      1198.50,      1004.50
N,NG,ECLFINANCE,SEC RED NCD 9.25% SR. III,       911.22,       900.00,       900.00,       872.00,       872.01,                    63042.00,71, ,8,       999.00,       715.00
N,NG,IIFLFIN,SEC RED NCD 10.20% SR. IV,       992.30,       992.65,      1000.00,       992.65,      1000.00,                    24889.75,25, ,2,      1188.00,       812.40
N,NG,L&TFINANCE,SE RE NCD 9.35% SR.V OPII,      1149.00,      1095.00,      1095.00,      1095.00,      1095.00,                     2190.00,2, ,1,      1245.00,      1005.00
N,NH,IFCI,9.90 % SRNCD SR VI,       982.00,       975.50,       980.00,       975.50,       980.00,                    39155.00,40, ,7,      1072.00,       920.00
N,NH,IIFLFIN,UNSEC RED NCD 10.0% SR. V,       955.00,       955.00,       955.00,       954.95,       954.95,                    19099.50,20, ,2,      1018.00,       856.00
N,NI,ECLFINANCE,SEC RED NCD 9.65% SR. V,       944.77,       901.00,       902.00,       901.00,       901.56,                   103680.00,115, ,2,      1025.00,       727.50
N,NI,RECLTD,8.12/8.32% TAX FREE NCD,      1205.00,      1180.00,      1180.00,      1180.00,      1180.00,                   590000.00,500, ,1,      1210.00,      1106.00
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       869.00,       869.00,       869.00,       869.00,       869.00,                    18249.00,21, ,2,       974.00,       725.00
N,NJ,IIFLFIN,SEC RED NCD SR. I,      1039.47,      1026.85,      1060.00,      1026.85,      1049.55,                   340625.00,327, ,10,      1060.00,       937.45
N,NJ,IRFC,TAX FREE  7.53% SR. 103 A,      1163.50,      1163.00,      1163.00,      1163.00,      1163.00,                     2326.00,2, ,2,      1236.00,      1100.00
N,NJ,SREIBNPNCD,9.35% SRNCD SR V B,       861.00,       965.90,       965.90,       965.90,       965.90,                     5795.40,6, ,2,       980.00,       601.00
N,NJ,TCFSL,SERENCD8.50%SR.IICIII&IV,      1035.00,      1033.00,      1033.00,      1032.25,      1033.00,                   541277.75,524, ,9,      1129.00,       996.00
N,NK,IIFLFIN,SEC RED NCD 9.50% SR. II,       996.80,       997.05,       997.05,       997.05,       997.05,                   119646.00,120, ,2,      1000.00,       775.00
N,NK,IRFC,TAX FREE7.50% SR.104 A,      1172.01,      1180.00,      1180.00,      1180.00,      1180.00,                   118000.00,100, ,1,      1244.80,      1111.40
N,NL,IFCI,9.40 % SRNCD TR II SR III,       946.89,       950.00,       950.00,       947.00,       949.96,                    57884.88,61, ,8,      1045.00,       914.99
N,NL,IIFLFIN,SEC RED NCD SR. III,      1025.00,      1026.10,      1026.10,      1026.10,      1026.10,                    15391.50,15, ,1,      1026.10,       814.00
N,NL,SREIBNPNCD,9.75% SRNCD SR VI B,       870.00,       900.00,       900.00,       900.00,       900.00,                    67500.00,75, ,10,      1010.00,       602.10
N,NL,TCFSL,SERENCD8.65%SR.IIICIII&IV,      1045.38,      1044.00,      1044.00,      1044.00,      1044.00,                    52200.00,50, ,1,      1077.75,       997.10
N,NM,ECLFINANCE,SEC RED NCD 10.20% SR. I,       930.62,       921.00,       921.00,       911.01,       912.00,                   119416.65,131, ,4,      1100.00,       755.20
N,NM,IFCI,SRNCD TR II SR IV,      1429.00,      1429.00,      1429.00,      1429.00,      1429.00,                   142900.00,100, ,3,      1475.00,      1333.00
N,NN,DHFL,SEC RED NCD 9.15% SR. 2B,       242.00,       280.00,       280.00,       279.00,       279.50,                      559.00,2, ,2,       940.00,       150.30
N,NN,ECLFINANCE,SEC RED NCD SR. II,      1037.50,      1033.00,      1033.00,      1000.00,      1000.00,                    10099.00,10, ,3,      1100.00,       800.10
N,NN,IRFC,TAX FREE  7.29% SR. 107A,      1071.12,      1080.00,      1080.00,      1080.00,      1080.00,                     2160.00,2, ,1,      1314.00,      1060.00
N,NO,ECLFINANCE,SEC RED NCD 9.95% SR. III,       939.00,       930.10,       930.10,       930.01,       930.05,                     9300.55,10, ,2,      1030.00,       810.00
N,NO,L&TFINANCE,SERENCD 9.0% SR.III OPII,      1070.00,      1070.00,      1070.00,      1070.00,      1070.00,                     5350.00,5, ,1,      1198.00,      1000.00
N,NO,SREIBNPNCD,UNS RED NCD 9.25% SR. I,       831.00,       840.00,       840.00,       840.00,       840.00,                    27720.00,33, ,1,       985.00,       551.00
N,NP,DHFL,SEC RED NCD 9.25% SR. 3B,       196.89,       190.00,       205.00,       190.00,       193.07,                  1663736.78,8554, ,93,       917.00,       140.00
N,NP,ECLFINANCE,SEC RED NCD 10.40% SR. IV,       900.94,       903.00,       903.00,       900.00,       900.50,                   243570.00,270, ,8,      1050.00,       770.10
N,NQ,DHFL,SEC RED NCD 8.90% SR. I,       243.98,       240.00,       240.00,       225.00,       237.99,                     5208.04,23, ,7,       969.90,       142.00
N,NQ,L&TFINANCE,SERENCD 8.66% SR.IV OPII,      1020.00,      1005.00,      1005.00,      1005.00,      1005.00,                     1005.00,1, ,1,      1100.00,       950.00
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,       954.00,       965.00,       968.00,       960.00,       964.85,                  5021623.50,5205, ,7,      1032.90,       801.02
N,NR,SREIBNPNCD,UNS RED NCD 9.35% SR. IV,       786.80,       725.10,       725.10,       725.10,       725.10,                     2175.30,3, ,1,       985.00,       570.10
N,NS,ECLFINANCE,SEC RED NCD 10.6% SR. VII,       920.00,       920.00,       920.00,       920.00,       920.00,                    18400.00,20, ,1,      1089.00,       802.00
N,NY,DHFL,SEC RED NCD 8.56% SR. V,       255.80,       205.00,       249.00,       205.00,       249.00,                    20749.00,101, ,2,       977.00,       136.00
N,NY,L&TFINANCE,SE RE NCD 8.45% SR.I OPT2,      1005.00,      1005.00,      1005.00,      1005.00,      1005.00,                    10050.00,10, ,1,      1010.00,       995.60
N,Y1,SREINFRA,SEC RED NCD 10.00% SR. VI,       910.00,       920.00,       921.00,       920.00,       921.00,                   226560.00,246, ,4,      1004.50,       561.00
N,Y3,SRTRANSFIN,10.75% SEC RED NCD SIII,      1100.00,      1106.00,      1106.00,      1106.00,      1106.00,                   221200.00,200, ,6,      1140.00,      1001.01
N,Y5,L&TFINANCE,SE RE NCD 8.60% SR.IV O8,      1004.00,      1004.25,      1010.00,      1004.25,      1004.60,                    38290.10,38, ,5,      1030.00,       995.00
N,Y6,SREINFRA,SEC RED NCD 9.25% SR. IV,      1055.14,      1050.01,      1072.50,      1040.00,      1072.50,                   355850.00,340, ,9,      1072.50,       812.00
N,Y6,SRTRANSFIN,SEC RED NCD SVI,      2030.00,      2039.00,      2039.00,      2039.00,      2039.00,                     4078.00,2, ,1,      2040.00,      1711.50
N,Y7,L&TFINANCE,SE RE NCD 8.29% SR.V O10,      1020.00,      1020.00,      1026.00,      1020.00,      1020.00,                    55200.00,54, ,4,      1030.00,      1005.00
N,Y7,SREINFRA,SEC RED NCD SR. V,      1280.00,      1280.00,      1280.00,      1280.00,      1280.00,                     1280.00,1, ,1,      1282.00,       901.05
N,Y9,SREINFRA,SEC RED NCD 9.50% SR. VII,       875.00,       900.00,       900.00,       850.00,       850.00,                   198800.10,226, ,13,      1005.99,       588.00
N,Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,      1063.89,      1063.01,      1063.01,      1061.00,      1061.51,                   284654.88,268, ,11,      1150.00,      1000.10
N,YK,SRTRANSFIN,SEC RED NCD 9.30% SR. IV,      1040.00,      1030.00,      1030.00,      1020.00,      1025.00,                   385400.00,375, ,7,      1060.90,       840.00
N,YO,SRTRANSFIN,SEC RED NCD 9.12% SR. I,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                   135000.00,135, ,7,      1047.00,       822.40
N,YV,SRTRANSFIN,SEC RED NCD 9.12% SR. I,       990.00,       987.00,       987.00,       987.00,       987.00,                    11844.00,12, ,2,      1088.00,       908.40
N,YW,SRTRANSFIN,SEC RED NCD 9.30% SR. II,       999.95,       982.05,      1001.80,       973.00,       999.93,                   305471.25,310, ,16,      1067.00,       900.00
N,YX,SRTRANSFIN,SEC RED NCD 9.40% SR. III,       981.55,       978.00,       978.00,       978.00,       978.00,                    97800.00,100, ,1,      1081.50,       800.50
N,YY,SRTRANSFIN,SEC RED NCD 9.50% SR. IV,       987.99,      1000.00,      1000.00,       961.28,       985.00,                    13760.12,14, ,6,      1170.10,       827.00
N,Z6,SRTRANSFIN,SEC RED NCD 9.3 SR.IV,      1036.15,       999.00,       999.00,       999.00,       999.00,                    29970.00,30, ,1,      1038.00,       830.00
