SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
DHFL,EQ,DEWAN HOUSING FIN CORP LT,L
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,L
DIGISPICE,EQ,DIGISPICE TECHNOLOGIES LT,L
DIGJAMLTD,BZ,DIGJAM LIMITED,L
DQE,EQ,DQ ENTERTAINMENT INT LTD,L
DUCON,EQ,DUCON INFRATECHNOLOGIES L,L
DWARKESH,EQ,DWARIKESH SUGAR IND LTD,L
E2E,SM,E2E NETWORKS LIMITED,L
EASTSILK,BE,EASTERN SILK INDUSTRIES L,L
EASUNREYRL,BZ,EASUN REYROLLE LTD,L
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,L
EMAMIPAP,EQ,EMAMI PAPER MILLS LIMITED,L
EMAMIREAL,BE,EMAMI REALTY LIMITED,L
EMCO,BZ,EMCO LIMITED,L
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,L
EON,EQ,EON ELECTRIC LIMITED,L
EROSMEDIA,EQ,EROS INTL MEDIA LTD,L
EUROMULTI,BE,EURO MULTIVISION LTD,L
EXCEL,BE,EXCEL REALTY N INFRA LTD,L
FCSSOFT,EQ,FCS SOFTWARE SOLN. LTD.,L
FLEXITUFF,BE,FLEXITUFF VENTURES INT L,L
GAMMNINFRA,BE,GAMMON INFRA PROJ LTD.,L
GANGOTRI,BZ,GANGOTRI TEXTILES LTD.,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GAYAPROJ,EQ,GAYATRI PROJECTS LTD,L
GENUSPAPER,EQ,GENUS P&B LIMITED,L
GFLLIMITED,EQ,GFL LIMITED,L
GLFL,BE,GUJARAT LEASE FINANCING L,L
GOACARBON,BE,GOA CARBON LIMITED,L
GREENPANEL,EQ,GREENPANEL INDUSTRIES LTD,L
GREENPOWER,BE,ORIENT GREEN POWER CO LTD,L
GROBTEA,BE,THE GROB TEA COMPANY LTD,L
GTL,EQ,GTL LTD,L
GTNIND,BE,GTN INDUSTRIES LIMITED,L
GULPOLY,EQ,GULSHAN POLYOLS LIMITED,L
HCC,EQ,HINDUSTAN CONSTRUCTION CO,L
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,L
HEXATRADEX,BE,HEXA TRADEX LIMITED,L
HMT,BZ,HMT LTD -,L
IBREALEST,EQ,INDIABULLS REAL EST. LTD,L
IBULISL,EQ,INDIABULLS INTEGR SER LTD,L
IBVENTURES,EQ,INDIABULLS VENTURES LTD,L
IIFLSEC,EQ,IIFL SECURITIES LIMITED,L
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,L
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,L
IMPEXFERRO,BE,IMPEX FERRO TECH LIMITED,L
INDOSOLAR,BZ,INDOSOLAR LIMITED,L
INDOWIND,BE,INDOWIND ENERGY LTD,L
INDSWFTLTD,EQ,IND-SWIFT LIMITED,L
ISFT,EQ,INTRASOFT TECH. LTD,L
ITDCEM,EQ,ITD CEMENTATION INDIA LTD,L
JAINSTUDIO,BE,JAIN STUDIOS LIMITED,L
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,L
JETFREIGHT,SM,JET FREIGHT LOGISTICS LTD,L
JIYAECO,EQ,JIYA ECO-PRODUCTS LTD,L
