INFO : 2020-05-11 06:53:46,896 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_APR_30.csv
INFO : 2020-05-11 06:53:47,275 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_MAR_24.csv
INFO : 2020-05-11 06:53:47,633 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_DEC_30.csv
INFO : 2020-05-11 06:53:47,974 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_MAR_09.csv
INFO : 2020-05-11 06:53:48,295 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_SEP_17.csv
INFO : 2020-05-11 06:53:48,668 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_NOV_20.csv
INFO : 2020-05-11 06:53:48,989 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_JAN_16.csv
INFO : 2020-05-11 06:53:49,326 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_FEB_06.csv
INFO : 2020-05-11 06:53:49,717 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_JAN_06.csv
INFO : 2020-05-11 06:53:50,020 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_JUL_02.csv
INFO : 2020-05-11 06:53:50,363 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_AUG_07.csv
INFO : 2020-05-11 06:53:50,720 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_MAY_13.csv
INFO : 2020-05-11 06:53:51,077 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_MAY_04.csv
INFO : 2020-05-11 06:53:51,427 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_MAY_30.csv
INFO : 2020-05-11 06:53:51,822 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_MAR_09.csv
INFO : 2020-05-11 06:53:52,100 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_MAY_06.csv
INFO : 2020-05-11 06:53:52,410 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_MAY_17.csv
INFO : 2020-05-11 06:53:52,719 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_MAY_04.csv
INFO : 2020-05-11 06:53:53,093 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_JUL_30.csv
INFO : 2020-05-11 06:53:53,486 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_FEB_21.csv
INFO : 2020-05-11 06:53:53,969 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_NOV_02.csv
INFO : 2020-05-11 06:53:54,307 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_NOV_03.csv
INFO : 2020-05-11 06:53:54,669 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_FEB_02.csv
INFO : 2020-05-11 06:53:54,980 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2020_JAN_21.csv
INFO : 2020-05-11 06:53:55,345 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_AUG_16.csv
INFO : 2020-05-11 06:53:55,711 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_SEP_18.csv
INFO : 2020-05-11 06:53:56,076 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_APR_27.csv
INFO : 2020-05-11 06:53:56,351 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_SEP_16.csv
INFO : 2020-05-11 06:53:56,728 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2018_JAN_08.csv
INFO : 2020-05-11 06:53:57,055 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_MAR_31.csv
INFO : 2020-05-11 06:53:57,339 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2016_DEC_29.csv
INFO : 2020-05-11 06:53:57,651 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2019_AUG_09.csv
INFO : 2020-05-11 06:53:57,977 : /home/dvlpr/Documents/Stocks/historicaleod/download/csv/NSE2017_SEP_28.csv
