symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10,AKZOINDIA.NS
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1,ALANKIT.NS
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,ALBERTDAVD.NS
ALCHEM,Alchemist Limited,BE,31-JUL-2007,10,1,INE964B01033,10,ALCHEM.NS
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,ALEMBICLTD.NS
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,ALICON.NS
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,ALKALI.NS
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,ALKEM.NS
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,5,1,INE150B01021,5,ALKYLAMINE.NS
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,ALLCARGO.NS
ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,ALLSEC.NS
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6,1,INE326B01027,6,ALMONDZ.NS
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,ALOKINDS.NS
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,ALPA.NS
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10,ALPHAGEO.NS
ALPSINDUS,Alps Industries Limited,BE,24-APR-1996,10,1,INE093B01015,10,ALPSINDUS.NS
AMARAJABAT,Amara Raja Batteries Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,AMARAJABAT.NS
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,AMBER.NS
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,AMBIKCO.NS
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,AMBUJACEM.NS
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,AMDIND.NS
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,AMJLAND.NS
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,AMRUTANJAN.NS
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,ANANTRAJ.NS
ANDHRACEMT,Andhra Cements Limited,BE,08-NOV-2010,10,1,INE666E01012,10,ANDHRACEMT.NS
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10,1,INE435A01028,10,ANDHRAPAP.NS
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,10,1,INE715B01013,10,ANDHRSUGAR.NS
ANIKINDS,Anik Industries Limited,BE,21-MAY-2008,10,1,INE087B01017,10,ANIKINDS.NS
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10,ANKITMETAL.NS
ANSALAPI,Ansal Properties & Infrastructure Limited,BE,27-JAN-2006,5,1,INE436A01026,5,ANSALAPI.NS
ANSALHSG,Ansal Housing Limited,EQ,06-OCT-2006,10,1,INE880B01015,10,ANSALHSG.NS
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10,ANUP.NS
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,APARINDS.NS
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10,APCL.NS
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2,APCOTEXIND.NS
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,APEX.NS
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,10,1,INE702C01019,10,APLAPOLLO.NS
